visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,log_entropy,entropy_x_contrast,IR_norm_range
3.0,140.0,43.5,0.0833,862.8417,0.0254,3.889,163.0,240.0,213.3555,-3.673006104957646,21.916179179999997,0.16346319018404903
3.0,135.0,41.9063,0.079,690.3291,0.0259,3.8339999999999996,167.0,239.0,213.7188,-3.653512310276645,17.87952369,0.15138443113772462
2.0,126.0,21.0586,0.0406,308.3583,0.0684,3.1702,174.0,240.0,227.5859,-2.682382454353632,21.09170772,0.07134540229885052
4.0,197.0,77.4805,0.08900000000000001,874.4709,0.0243,3.9442,155.0,239.0,197.2773,-3.7172789286356345,21.24964287,0.26917870967741936
7.0,193.0,88.8398,0.0884,810.1126,0.0223,3.9318,150.0,236.0,186.0195,-3.803168600516064,18.065510980000003,0.33320333333333335
5.0,190.0,57.1836,0.0568,388.4958,0.0398,3.5269,135.0,236.0,195.3125,-3.223888366691745,15.46213284,0.3013888888888889
5.0,144.0,42.0391,0.0418,250.875,0.0543,3.2405,94.0,225.0,179.1484,-2.913231052042247,13.622512500000001,0.48778297872340415
3.0,130.0,18.2188,0.0297,180.3792,0.1084,2.8236,155.0,235.0,216.5117,-2.2219271899765913,19.55310528,0.11927935483870974
3.0,136.0,44.7813,0.0592,433.3792,0.0394,3.5576,152.0,238.0,205.6914,-3.233989462678249,17.075140479999998,0.2125565789473685
3.0,124.0,28.5781,0.0359,234.35,0.1251,2.8862,159.0,240.0,220.0352,-2.0786418615092717,29.317184999999995,0.12556477987421383
3.0,187.0,86.0547,0.0756,624.3583,0.0265,3.7939,150.0,239.0,189.0586,-3.6306105459899607,16.54549495,0.3329426666666666
4.0,191.0,81.0234,0.0869,787.4542,0.0257,3.8711,150.0,237.0,190.6914,-3.661264287080963,20.23757294,0.3087240000000001
3.0,169.0,57.9648,0.0844,802.8417,0.0263,3.8562,153.0,237.0,203.0938,-3.638186339798418,21.11473671,0.22160915032679745
5.0,187.0,78.8047,0.0923,883.4042,0.0224,3.9528,151.0,236.0,193.2969,-3.7986943201211427,19.788254079999998,0.2828019867549669
6.0,181.0,73.2891,0.0972,1046.5958,0.0217,4.0206,152.0,234.0,194.8008,-3.830443018435723,22.711128860000002,0.25788947368421045
4.0,148.0,32.0625,0.0608,546.9709,0.0388,3.5703,155.0,237.0,218.5234,-3.249335032352909,21.222470920000003,0.11920387096774188
4.0,121.0,33.7031,0.0579,414.2751,0.0358,3.5909,175.0,236.0,218.7148,-3.3298073855754824,14.83104858,0.09877257142857145
7.0,155.0,59.2305,0.0837,745.0083,0.025,3.8622,162.0,234.0,203.8516,-3.6888794541139363,18.6252075,0.18610123456790129
5.0,116.0,36.0195,0.0703,568.975,0.0315,3.6985,171.0,234.0,216.6875,-3.4577677331505496,17.9227125,0.10124269005847954
4.0,78.0,12.1563,0.0215,107.8208,0.1449,2.5383,193.0,235.0,229.9531,-1.9317114296555002,15.62323392,0.026149740932642454
4.0,128.0,22.0547,0.0403,298.7,0.0823,3.1272,172.0,236.0,224.1055,-2.497384171299113,24.583009999999998,0.06915406976744182
4.0,127.0,26.6719,0.0559,403.9792,0.0361,3.5378,167.0,234.0,220.6367,-3.3214624136433017,14.58364912,0.08001976047904197
6.0,150.0,44.6367,0.0844,811.0958,0.0267,3.8723,161.0,235.0,212.1094,-3.623091713575933,21.656257860000004,0.14217763975155284
6.0,141.0,51.9727,0.0799,709.2292,0.0259,3.8191,162.0,237.0,208.5352,-3.653512310276645,18.36903628,0.1757086419753086
6.0,140.0,49.7695,0.0864,789.9916,0.0236,3.8960000000000004,165.0,237.0,210.7266,-3.7465085669505727,18.64380176,0.15923272727272733
5.0,78.0,17.043,0.0299,140.3542,0.0764,2.9614,195.0,238.0,230.6953,-2.5717725828096625,10.723060879999998,0.037459999999999986
6.0,115.0,23.8047,0.042,342.0583,0.0733,3.1733,176.0,237.0,226.625,-2.613194670089531,25.072873389999998,0.05894886363636364
7.0,141.0,32.9063,0.067,547.2209,0.0325,3.6859,166.0,237.0,218.8398,-3.4265151896464454,17.78467925,0.10939879518072292
7.0,145.0,40.3945,0.0629,490.3209,0.0326,3.6723,165.0,235.0,214.9297,-3.423442990609475,15.984461339999998,0.12163818181818184
9.0,114.0,36.5625,0.053,326.45,0.0377,3.4987,184.0,234.0,218.4648,-3.278095184528172,12.307165,0.08443043478260871
