visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,log_entropy,entropy_x_contrast,IR_norm_range
4.0,154.0,46.8711,0.0823,814.2875,0.0264,3.8772,193.0,248.0,227.5977,-3.6343912688298663,21.49719,0.10571139896373057
61.9002,137.144,92.0665,5.4458,61.1708,0.0834,2.7181,-13.3353,-4.5511,-8.2076,-2.484106969617436,5.10164472,-0.27419705593424964
50.7211,91.7827,77.5108,1.2958,4.0958,0.2721,1.5516,-86.8425,-53.7371,-68.0937,-1.3015856331929363,1.11446718,-0.16531767279845694
81.0336,97.3723,88.8217,1.2833,3.1583,0.2566,1.48,-103.6105,-76.3651,-92.595,-1.3602368268006009,0.81041978,-0.15664339038997013
5.1449,84.4733,25.365,6.2583,85.5667,0.0834,2.8292,4.1733,34.6414,23.965,-2.484106969617436,7.13626278,2.558263244914096
16.0,195.0,95.4258,0.1085,1181.0459,0.0196,4.0853,157.0,231.0,190.1133,-3.9322257127456655,23.14849964,0.26042484076433114
3.0,79.0,8.8594,0.0125,46.2458,0.2143,2.061,214.0,247.0,243.4531,-1.5403783765026058,9.91047494,0.01657429906542053
4.0,46.0,8.6211,0.0117,25.6583,0.1656,2.1082,215.0,246.0,237.9766,-1.7981800370309775,4.24901448,0.03731813953488376
6.0048,77.5939,15.611,4.3208,55.0542,0.1332,2.4475,8.097000000000001,34.0016,28.5332,-2.0159035208758485,7.3332194400000015,0.6753612449055207
8.3696,144.4533,66.9472,11.625,219.5667,0.0422,3.3272,-9.0217,35.2792,6.2772,-3.1653350579401716,9.26571474,-3.214693461321038
10.0,154.0,50.7695,0.0708,581.3626,0.0297,3.7481,176.0,243.0,219.3281,-3.516608233173483,17.26646922,0.13449943181818175
4.0,9.0,5.0703,0.0005,0.1875,0.83,0.3714,242.0,246.0,245.1914,-0.18632957819149348,0.155625,0.003341322314049639
6.2198,101.2419,32.9759,5.6333,61.7667,0.0847,2.7155,-14.1561,33.5741,16.7725,-2.4686396773241284,5.23163949,-1.1868805673879106
5.0,150.0,62.0859,0.0404,183.8167,0.0485,3.2203,139.0,238.0,193.7813,-3.0261914810386994,8.91510995,0.3181201438848922
8.0,152.0,41.9141,0.0559,383.0833,0.0389,3.5219,158.0,238.0,214.8828,-3.2467610283577364,14.901940369999998,0.14631139240506327
3.2101,15.2491,4.0641,0.2375,1.0292,0.8277,0.4386,35.4914,40.7304,39.681,-0.18910450909078694,0.8518688399999998,0.02956772626608152
19.9787,90.0629,73.4488,4.4833,38.7333,0.098,2.5445,-7.9597,25.7267,-3.4549,-2.322787800311565,3.7958634,-3.666168322926744
6.0048,90.0629,28.2227,7.9,114.625,0.0591,3.0285,4.1733,33.7879,25.0489,-2.8285243545700847,6.7743375,2.094026310114298
4.0,204.0,74.3203,0.1226,1922.7754,0.0205,4.1544,161.0,240.0,203.7539,-3.887330392837775,39.41689570000001,0.2251310559006212
29.6529,69.4246,44.6537,1.7667,6.65,0.2097,1.7675,-96.4604,-8.2246,-46.3438,-1.5620773410742628,1.3945049999999999,-0.39517978362105066
2.0,120.0,16.082,0.0413,392.1208,0.0961,2.9945,204.0,250.0,242.0039,-2.34236596300589,37.68280888,0.03919656862745104
33.7375,75.6591,55.4046,2.2792,9.6375,0.1674,1.9545,-88.6804,-25.2057,-59.8336,-1.787369120926762,1.6133174999999995,-0.39047974524246615
3.0,44.0,5.9297,0.0068,16.1542,0.3765,1.5384,223.0,251.0,248.2148,-0.9768372317421888,6.0820563,0.012489686098654723
2.0,3.0,2.0313,0.0002,0.0417,0.9201,0.1732,245.0,249.0,246.6016,-0.08327291919382147,0.03836817,0.00978938775510208
5.0,195.0,56.0664,0.0716,610.6334,0.0348,3.6841,157.0,240.0,211.9922,-3.3581378922017087,21.25004232,0.17839363057324842
6.0,67.0,19.332,0.0296,113.5667,0.0651,2.9789,221.0,246.0,239.7344,-2.731830729767613,7.393192170000002,0.02835113122171948
12.0,166.0,81.5664,0.0862,802.5792,0.0237,3.8782,153.0,229.0,188.4922,-3.742280230841052,19.02112704,0.2647568627450981
69.6396,85.9782,77.5989,0.7667,1.4833,0.3653,1.1758,-110.6983,-92.4445,-103.7479,-1.0070363451809,0.54184949,-0.10210996916845153
12.4543,68.1347,40.9294,5.225,57.05,0.0978,2.6018,-79.33,14.5413,-51.8437,-2.324830701941365,5.57949,-0.8368208748266733
5.3599,91.9977,19.5907,4.3917,61.6333,0.1574,2.4002,-80.6227,34.0016,10.0552,-1.8489649429988344,9.70108142,-0.2970180854771672
3.855,34.5975,6.6859,0.9208,6.9708,0.5877,1.0359,29.2505,41.5571,38.9309,-0.5315386653635323,4.0967391599999985,0.08978308063110023
5.7899,49.6462,18.9592,3.7625,28.3625,0.1186,2.3894,-8.4899,32.7164,18.8133,-2.131998792418512,3.3637925,-1.6376046832118158
73.5092,95.8674,84.2399,1.2958,3.8958,0.2667,1.5371,-93.405,-75.5307,-86.162,-1.3216308477941685,1.03900986,-0.11381938868368942
76.304,86.8381,82.2882,0.4208,0.5125,0.5098,0.7628,-98.9616,-91.0187,-95.1608,-0.673736787040122,0.2612725,-0.04185562884997816
2.0,88.0,10.9102,0.027000000000000003,130.075,0.0887,2.8226,214.0,252.0,244.0508,-2.422495389666603,11.537652499999998,0.03714579439252332
84.9033,113.9259,98.2229,2.5125,11.4625,0.1552,2.0255,-112.9784,-87.2993,-101.3833,-1.8630406712330188,1.77898,-0.1246609971463572
2.0,155.0,42.7656,0.0458,295.9833,0.0598,3.2906,193.0,248.0,228.0547,-2.8167496180255513,17.69980134,0.1033435233160622
5.0,78.0,24.6289,0.0399,186.6375,0.0474,3.2339,218.0,247.0,237.3555,-3.0491330502811063,8.846617499999997,0.04424082568807337
4.715,75.6591,25.7093,4.8958,49.1958,0.1075,2.5704,0.5703,35.2792,22.0351,-2.23026443141442,5.2885485,23.22304050499737
